EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
192358.047,189577.766,205154.875,198276.516,192783.625,184260.281,192400.063,182304.234,-0.003,1.004,0.170,-1.160,-0.641,-1.007,80.000,159878.000,1.000
192386.656,189612.000,205181.328,198296.547,192809.109,184290.141,192433.063,182334.813,-0.002,1.005,0.166,-1.221,-0.702,-0.977,80.000,159879.000,1.000
192392.375,189599.844,205162.109,198283.406,192800.438,184254.641,192404.094,182349.828,-0.001,1.007,0.164,-1.160,-0.763,-0.977,80.000,159880.000,1.000
192373.969,189575.969,205132.969,198260.078,192780.500,184222.281,192373.875,182334.453,-0.001,1.009,0.164,-1.221,-0.763,-0.885,80.000,159881.000,1.000
192349.203,189569.625,205129.125,198246.750,192769.953,184237.922,192378.875,182299.406,-0.001,1.008,0.165,-1.312,-0.793,-0.854,80.000,159882.000,1.000
192355.813,189585.000,205151.297,198269.016,192777.813,184252.141,192390.766,182299.313,-0.001,1.008,0.164,-1.495,-0.641,-0.793,80.000,159883.000,1.000
192377.266,189604.500,205169.438,198289.219,192795.344,184271.641,192409.906,182324.078,0.000,1.005,0.166,-1.465,-0.641,-0.793,80.000,159884.000,1.000
192390.422,189597.156,205158.094,198287.875,192797.313,184250.984,192397.484,182348.313,-0.001,1.005,0.165,-1.587,-0.671,-0.702,80.000,159885.000,1.000
192357.328,189555.500,205114.281,198246.922,192766.547,184207.891,192361.172,182321.938,0.000,1.006,0.167,-1.648,-0.641,-0.641,80.000,159886.000,1.000
192328.359,189542.172,205104.266,198229.672,192749.469,184211.281,192358.766,182285.453,-0.002,1.004,0.167,-1.709,-0.824,-0.641,80.000,159887.000,1.000
192344.813,189572.125,205141.547,198267.578,192775.578,184261.984,192404.094,182302.891,-0.002,1.004,0.166,-1.831,-0.763,-0.610,80.000,159888.000,1.000
192369.219,189593.234,205164.969,198292.344,192795.156,184281.641,192421.969,182332.047,-0.003,1.002,0.166,-1.862,-0.610,-0.549,80.000,159889.000,1.000
192377.984,189588.313,205149.500,198282.875,192792.203,184257.516,192410.625,182357.703,-0.005,1.004,0.166,-1.862,-0.580,-0.519,80.000,159890.000,1.000
192358.672,189562.922,205117.047,198252.203,192765.750,184216.828,192366.625,182326.672,-0.005,1.004,0.168,-1.953,-0.549,-0.427,80.000,159891.000,1.000
192338.828,189558.359,205116.422,198240.313,192753.578,184226.484,192364.578,182290.375,-0.005,1.005,0.168,-2.014,-0.641,-0.427,80.000,159892.000,1.000
192355.813,189585.813,205152.719,198271.875,192777.813,184271.719,192403.734,182305.750,-0.004,1.004,0.167,-2.014,-0.702,-0.519,80.000,159893.000,1.000
192379.063,189605.297,205173.203,198290.922,192796.328,184292.203,192422.594,182326.406,-0.004,1.003,0.168,-2.136,-0.641,-0.427,80.000,159894.000,1.000
192378.875,189586.609,205148.250,198273.484,192785.234,184257.859,192395.594,182336.328,-0.005,1.003,0.167,-2.136,-0.641,-0.366,80.000,159895.000,1.000
192357.250,189559.250,205115.359,198241.922,192763.156,184223.891,192361.719,182315.766,-0.004,1.003,0.169,-2.228,-0.671,-0.275,80.000,159896.000,1.000
192340.344,189558.719,205119.547,198237.453,192756.000,184231.938,192359.656,182286.891,-0.004,1.004,0.167,-2.228,-0.610,-0.275,80.000,159897.000,1.000
192351.797,189580.625,205150.406,198265.344,192773.344,184272.078,192387.203,182290.641,-0.003,1.004,0.166,-2.167,-0.488,-0.366,80.000,159898.000,1.000
192381.297,189611.203,205177.484,198288.422,192797.750,184295.859,192419.297,182316.125,-0.002,1.003,0.167,-2.289,-0.488,-0.427,80.000,159899.000,1.000
192395.594,189603.688,205168.281,198290.375,192802.141,184276.188,192418.484,182343.219,0.000,1.002,0.168,-2.319,-0.488,-0.488,80.000,159900.000,1.000
192364.219,189559.250,205124.031,198247.469,192766.453,184215.391,192361.984,182314.516,-0.001,1.003,0.166,-2.258,-0.458,-0.580,80.000,159901.000,1.000
192349.734,189559.156,205129.844,198246.656,192759.219,184217.188,192352.500,182289.578,-0.002,1.003,0.167,-2.228,-0.458,-0.610,80.000,159902.000,1.000
192364.047,189593.234,205162.922,198274.375,192778.703,184261.172,192382.188,182297.172,-0.004,1.001,0.168,-2.106,-0.458,-0.641,80.000,159903.000,1.000
192387.828,189618.625,205182.938,198293.156,192797.578,184282.359,192412.234,182321.313,-0.002,1.001,0.170,-2.075,-0.397,-0.580,80.000,159904.000,1.000
192397.203,189606.281,205169.266,198287.969,192797.484,184262.063,192399.438,182343.219,-0.002,1.000,0.168,-2.136,-0.305,-0.671,80.000,159905.000,1.000
192368.156,189565.594,205127.688,198253.016,192768.063,184220.672,192363.500,182322.391,-0.001,0.999,0.173,-2.106,-0.275,-0.610,80.000,159906.000,1.000
192351.875,189562.109,205128.406,198246.656,192758.859,184219.688,192363.234,182295.375,-0.003,1.002,0.171,-2.136,-0.305,-0.519,80.000,159907.000,1.000
192368.781,189594.031,205163.906,198274.016,192777.016,184252.047,192386.656,182297.969,-0.003,1.002,0.171,-2.075,-0.336,-0.519,80.000,159908.000,1.000
192398.188,189629.438,205189.922,198297.094,192800.797,184286.391,192413.031,182317.281,-0.002,1.002,0.170,-2.014,-0.275,-0.519,80.000,159909.000,1.000
192403.641,189613.438,205170.703,198289.844,192796.766,184265.828,192400.875,182335.438,-0.003,1.000,0.168,-1.953,-0.214,-0.488,80.000,159910.000,1.000
192373.516,189571.500,205128.141,198255.875,192764.047,184212.625,192353.125,182312.734,-0.002,1.002,0.167,-1.953,-0.183,-0.519,80.000,159911.000,1.000
192359.125,189574.359,205133.234,198257.031,192761.188,184222.453,192359.484,182296.547,-0.002,1.003,0.171,-1.984,-0.183,-0.488,80.000,159912.000,1.000
192375.750,189604.766,205169.438,198281.797,192785.328,184268.063,192402.484,182310.141,-0.002,1.003,0.169,-1.953,-0.122,-0.519,80.000,159913.000,1.000
192397.750,189621.922,205187.500,198293.594,192800.250,184289.344,192411.969,182320.594,-0.004,1.003,0.169,-2.045,-0.153,-0.458,80.000,159914.000,1.000
192401.594,189608.156,205167.922,198283.938,192797.656,184271.359,192401.594,182339.109,-0.003,1.002,0.171,-2.045,-0.153,-0.397,80.000,159915.000,1.000
192369.500,189568.188,205127.063,198251.578,192771.469,184236.234,192373.250,182317.281,-0.005,1.002,0.169,-2.075,-0.275,-0.397,80.000,159916.000,1.000
192348.125,189558.359,205123.219,198240.484,192756.359,184221.391,192354.734,182281.703,-0.006,1.002,0.172,-2.136,-0.244,-0.427,80.000,159917.000,1.000
192358.938,189581.063,205152.359,198267.500,192772.547,184249.281,192378.438,182288.672,-0.005,1.004,0.171,-2.075,-0.214,-0.336,80.000,159918.000,1.000
192385.141,189612.000,205177.938,198298.063,192798.281,184287.453,192413.922,182318.094,-0.006,1.004,0.171,-2.106,-0.214,-0.366,80.000,159919.000,1.000
192390.500,189607.000,205162.828,198291.188,192799.813,184276.547,192411.250,182341.703,-0.009,1.002,0.171,-2.228,-0.275,-0.275,80.000,159920.000,1.000
192359.922,189566.141,205121.250,198253.813,192769.406,184224.516,192376.828,182321.750,-0.007,1.002,0.170,-2.228,-0.366,-0.305,80.000,159921.000,1.000
192333.547,189553.797,205113.391,198236.922,192751.078,184215.125,192350.719,182285.375,-0.006,1.005,0.170,-2.197,-0.427,-0.366,80.000,159922.000,1.000
192346.969,189583.297,205145.031,198263.375,192771.375,184254.297,192387.203,182293.859,-0.005,1.003,0.170,-2.258,-0.458,-0.427,80.000,159923.000,1.000
192373.516,189605.125,205168.734,198287.703,192794.438,184282.359,192418.047,182322.109,-0.005,1.003,0.171,-2.289,-0.488,-0.366,80.000,159924.000,1.000
192378.250,189594.031,205152.547,198279.031,192793.813,184269.938,192415.984,182342.766,-0.005,1.003,0.172,-2.167,-0.458,-0.305,80.000,159925.000,1.000
192352.328,189558.813,205113.563,198250.422,192764.219,184217.719,192367.609,182320.594,-0.004,1.003,0.170,-2.228,-0.427,-0.305,80.000,159926.000,1.000
192334.453,189554.250,205116.344,198252.391,192755.641,184213.516,192354.922,182294.313,-0.004,1.003,0.174,-2.197,-0.397,-0.275,80.000,159927.000,1.000
192345.438,189581.156,205146.375,198271.422,192772.094,184246.875,192382.281,182299.313,-0.006,1.003,0.173,-2.167,-0.397,-0.244,80.000,159928.000,1.000
192375.844,189607.531,205169.266,198289.484,192790.156,184268.594,192406.781,182321.750,-0.003,1.002,0.171,-2.106,-0.488,-0.214,80.000,159929.000,1.000
192378.438,189593.406,205145.031,198270.625,192780.766,184245.609,192388.531,182333.297,-0.005,1.003,0.171,-2.014,-0.580,-0.092,80.000,159930.000,1.000
192347.859,189554.063,205102.563,198228.781,192750.641,184200.734,192348.219,182308.250,-0.006,1.002,0.171,-2.075,-0.610,-0.122,80.000,159931.000,1.000
192338.922,189555.859,205113.828,198238.797,192752.875,184212.719,192359.297,182292.438,-0.007,1.003,0.170,-2.106,-0.732,-0.092,80.000,159932.000,1.000
192366.094,189600.297,205160.234,198280.016,192787.656,184272.969,192407.219,182308.703,-0.008,1.002,0.169,-2.045,-0.793,-0.061,80.000,159933.000,1.000
192395.594,189635.969,205189.828,198302.188,192813.750,184307.578,192431.984,182335.172,-0.006,1.002,0.170,-1.984,-0.824,0.061,80.000,159934.000,1.000
192389.969,189608.969,205160.500,198279.563,192796.047,184262.344,192404.359,182340.438,-0.005,1.002,0.170,-2.075,-0.793,0.031,80.000,159935.000,1.000
192375.297,189580.703,205132.078,198258.375,192778.266,184227.828,192375.578,182327.750,-0.004,1.003,0.170,-2.075,-0.824,-0.061,80.000,159936.000,1.000
