EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
190570.797,189910.891,210446.688,202943.031,193320.875,184520.984,192488.219,183342.969,0.045,1.002,0.070,-2.136,-0.305,-0.427,80.000,17165.000,1.000
190586.094,189897.031,210428.094,202940.891,193325.875,184502.750,192477.500,183360.125,0.046,1.004,0.070,-2.258,-0.366,-0.275,80.000,17166.000,1.000
190550.063,189851.344,210382.766,202900.297,193293.781,184462.609,192435.125,183319.094,0.045,1.003,0.073,-2.319,-0.275,-0.244,80.000,17167.000,1.000
190535.047,189863.594,210397.609,202901.813,193291.906,184485.578,192449.781,183300.047,0.045,1.001,0.072,-2.380,-0.366,-0.305,80.000,17168.000,1.000
190559.625,189909.109,210444.188,202936.594,193317.828,184541.281,192497.438,183319.625,0.046,1.000,0.072,-2.380,-0.366,-0.305,80.000,17169.000,1.000
190586.359,189930.109,210459.563,202946.781,193324.531,184538.328,192489.750,183329.375,0.045,1.000,0.075,-2.441,-0.366,-0.214,80.000,17170.000,1.000
190588.594,189889.969,210422.734,202921.750,193304.250,184493.359,192443.797,183313.375,0.045,1.000,0.075,-2.472,-0.336,-0.122,80.000,17171.000,1.000
190567.141,189862.344,210390.984,202897.172,193283.406,184459.391,192413.922,183282.438,0.044,0.999,0.073,-2.502,-0.366,-0.153,80.000,17172.000,1.000
190546.031,189864.578,210397.609,202892.344,193272.063,184464.125,192410.797,183254.625,0.045,0.998,0.074,-2.502,-0.244,-0.183,80.000,17173.000,1.000
190554.984,189891.750,210428.547,202910.844,193281.094,184490.953,192430.922,183262.313,0.044,0.997,0.075,-2.502,-0.366,-0.122,80.000,17174.000,1.000
190589.406,189919.297,210451.344,202929.703,193299.953,184510.438,192454.703,183290.391,0.046,0.996,0.076,-2.502,-0.366,-0.092,80.000,17175.000,1.000
190611.578,189908.828,210436.859,202930.063,193301.375,184477.266,192428.406,183304.250,0.047,0.997,0.080,-2.472,-0.366,-0.153,80.000,17176.000,1.000
190578.578,189864.578,210391.531,202896.547,193264.281,184412.625,192374.859,183272.781,0.045,0.998,0.075,-2.350,-0.305,-0.183,80.000,17177.000,1.000
190550.516,189857.250,210389.016,202886.172,193243.625,184407.359,192366.625,183241.219,0.045,0.998,0.072,-2.441,-0.397,-0.122,80.000,17178.000,1.000
190564.641,189890.781,210426.125,202912.547,193259.000,184442.938,192394.891,183251.406,0.045,0.999,0.072,-2.411,-0.366,-0.275,80.000,17179.000,1.000
190587.797,189913.219,210446.953,202932.922,193278.938,184459.922,192417.500,183284.406,0.045,0.999,0.076,-2.289,-0.458,-0.305,80.000,17180.000,1.000
190590.297,189886.125,210416.656,202919.063,193271.516,184415.672,192387.734,183298.531,0.047,0.997,0.079,-2.380,-0.458,-0.427,80.000,17181.000,1.000
190564.359,189849.203,210381.063,202894.656,193255.781,184381.516,192368.422,183291.469,0.046,0.997,0.078,-2.319,-0.427,-0.397,80.000,17182.000,1.000
190539.781,189843.031,210383.656,202890.734,193250.422,184401.094,192384.063,183278.234,0.046,0.999,0.077,-2.350,-0.427,-0.336,80.000,17183.000,1.000
190549.703,189878.250,210416.109,202912.359,193270.625,184449.016,192423.141,183296.656,0.048,0.998,0.075,-2.258,-0.458,-0.305,80.000,17184.000,1.000
190572.953,189900.969,210435.063,202932.844,193294.594,184468.859,192446.828,183334.375,0.047,0.999,0.078,-2.167,-0.336,-0.305,80.000,17185.000,1.000
190569.469,189869.406,210399.391,202913.172,193286.984,184436.406,192429.578,183345.203,0.048,0.999,0.076,-2.136,-0.305,-0.427,80.000,17186.000,1.000
