EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
191619.813,190334.406,208510.844,201421.500,193240.938,184634.188,193355.563,183222.266,0.040,1.004,0.188,-1.770,0.244,-0.153,80.000,54699.000,1.000
191642.344,190376.797,208554.219,201461.469,193270.359,184688.625,193392.578,183241.938,0.039,1.004,0.188,-1.862,0.275,-0.031,80.000,54700.000,1.000
191676.141,190406.828,208579.609,201488.922,193297.094,184709.109,193414.656,183281.906,0.039,1.003,0.187,-1.801,0.458,0.031,80.000,54701.000,1.000
191667.109,190371.688,208539.188,201447.344,193276.609,184663.234,193390.344,183274.750,0.038,1.003,0.187,-1.801,0.519,0.031,80.000,54702.000,1.000
191640.203,190334.953,208507.625,201419.531,193253.109,184627.031,193357.625,183248.016,0.037,1.002,0.188,-1.678,0.549,-0.031,80.000,54703.000,1.000
191622.594,190335.656,208518.891,201420.078,193250.156,184646.781,193371.922,183231.734,0.037,1.002,0.185,-1.740,0.427,0.031,80.000,54704.000,1.000
191638.234,190364.359,208552.781,201445.203,193266.516,184678.250,193398.484,183239.344,0.036,1.002,0.187,-1.770,0.519,0.000,80.000,54705.000,1.000
191666.313,190385.906,208573.438,201467.719,193284.391,184690.328,193408.672,183267.688,0.037,1.001,0.187,-1.678,0.671,0.000,80.000,54706.000,1.000
191670.594,190367.047,208548.578,201453.953,193277.953,184663.328,193390.969,183279.750,0.035,1.002,0.188,-1.678,0.641,-0.031,80.000,54707.000,1.000
191643.422,190331.641,208511.922,201423.734,193249.078,184618.094,193355.203,183246.578,0.036,1.004,0.186,-1.587,0.702,0.061,80.000,54708.000,1.000
191628.578,190339.500,208520.156,201426.328,193242.375,184625.781,193354.313,183218.516,0.034,1.005,0.187,-1.617,0.610,-0.092,80.000,54709.000,1.000
191645.391,190372.953,208555.109,201454.219,193266.422,184679.422,193395.266,183234.953,0.033,1.004,0.186,-1.770,0.427,-0.061,80.000,54710.000,1.000
191681.422,190407.719,208585.234,201486.141,193298.703,184712.328,193422.438,183275.641,0.032,1.007,0.188,-1.770,0.488,-0.122,80.000,54711.000,1.000
191684.641,190386.797,208557.797,201472.109,193290.297,184671.375,193400.891,183291.563,0.033,1.006,0.189,-1.801,0.427,-0.244,80.000,54712.000,1.000
191651.203,190337.359,208514.422,201439.828,193251.047,184612.547,193340.188,183248.813,0.033,1.006,0.190,-1.831,0.366,-0.366,80.000,54713.000,1.000
191618.031,190324.047,208505.844,201415.156,193224.844,184605.844,193327.125,183194.734,0.035,1.003,0.187,-1.770,0.366,-0.397,80.000,54714.000,1.000
191631.438,190356.672,208538.750,201440.906,193248.094,184655.188,193373.984,183218.234,0.038,1.001,0.188,-1.831,0.244,-0.214,80.000,54715.000,1.000
191664.422,190382.875,208562.172,201468.703,193274.109,184681.125,193400.625,183256.594,0.037,1.000,0.185,-1.801,0.336,-0.153,80.000,54716.000,1.000
191667.203,190365.609,208534.984,201450.734,193265.797,184654.203,193373.094,183264.547,0.034,1.001,0.186,-1.617,0.275,-0.153,80.000,54717.000,1.000
191644.578,190342.281,208507.625,201425.438,193246.750,184628.813,193345.813,183241.750,0.031,0.998,0.186,-1.556,0.183,-0.214,80.000,54718.000,1.000
191636.000,190351.938,208526.234,201435.094,193246.938,184640.344,193355.109,183226.734,0.033,0.999,0.188,-1.495,0.153,-0.244,80.000,54719.000,1.000
191656.734,190381.531,208565.484,201472.203,193270.625,184677.984,193392.219,183251.500,0.030,0.999,0.188,-1.465,0.153,-0.153,80.000,54720.000,1.000
191681.500,190405.406,208583.453,201484.266,193292.266,184706.594,193423.875,183280.297,0.034,0.999,0.187,-1.465,0.031,-0.214,80.000,54721.000,1.000
191681.594,190373.484,208550.719,201462.188,193277.063,184660.828,193378.359,183277.422,0.034,1.002,0.185,-1.343,-0.031,-0.214,80.000,54722.000,1.000
191658.000,190340.406,208521.047,201438.766,193256.859,184621.578,193345.375,183251.594,0.034,1.001,0.183,-1.343,0.031,-0.183,80.000,54723.000,1.000
191641.813,190348.453,208532.391,201442.516,193256.406,184633.469,193367.625,183235.234,0.034,1.000,0.185,-1.312,0.092,-0.244,80.000,54724.000,1.000
191657.813,190382.875,208567.625,201470.594,193279.484,184678.250,193401.969,183249.891,0.034,1.000,0.184,-1.404,0.031,-0.275,80.000,54725.000,1.000
191677.656,190392.250,208578.797,201483.016,193293.328,184693.188,193412.156,183271.266,0.033,0.999,0.186,-1.343,0.031,-0.275,80.000,54726.000,1.000
191683.297,190371.422,208556.719,201474.703,193292.172,184666.813,193396.594,183294.953,0.033,1.000,0.182,-1.251,-0.092,-0.275,80.000,54727.000,1.000
191657.813,190342.375,208525.328,201443.766,193266.688,184628.641,193358.328,183254.891,0.033,1.002,0.185,-1.221,-0.153,-0.366,80.000,54728.000,1.000
191647.359,190354.891,208542.141,201448.500,193267.938,184652.594,193371.297,183231.203,0.034,1.003,0.188,-1.312,-0.183,-0.366,80.000,54729.000,1.000
191660.672,190384.656,208573.609,201475.141,193279.391,184673.609,193378.719,183237.469,0.032,1.004,0.184,-1.465,-0.244,-0.458,80.000,54730.000,1.000
191683.734,190401.203,208585.328,201485.703,193292.625,184684.516,193402.141,183261.422,0.034,1.005,0.184,-1.373,-0.397,-0.519,80.000,54731.000,1.000
191688.656,190381.438,208557.516,201469.250,193285.563,184653.313,193389.266,183278.141,0.033,1.005,0.184,-1.495,-0.458,-0.488,80.000,54732.000,1.000
